#{"t_start": 1772898691.778584, "env_id": "None"}
r,l,t
-28.0,20,0.687935
-22.0,20,0.708833
-28.0,20,0.732865
-22.0,20,0.752536
-26.0,20,0.775522
-14.0,2,0.778969
-22.0,20,0.799641
-18.0,4,0.805077
-20.0,10,0.816113
-16.0,6,0.822314
-20.0,10,0.832538
-14.0,20,0.851043
-24.0,6,0.857911
-19.0,5,0.863589
-20.0,20,0.88461
-28.0,10,0.895345
-16.0,20,0.914939
-14.0,20,0.934464
-12.982019,1,0.936602
-14.0,20,0.957271
-18.0,20,0.977437
-13.0,1,0.979694
-8.0,20,0.998384
-20.0,20,1.015571
-18.0,20,1.034687
-15.0,1,1.03664
-20.0,20,1.054518
-22.0,12,1.065486
-18.0,20,1.083728
-17.0,13,1.096154
-24.0,8,1.10406
-18.0,20,1.122504
-16.0,20,1.140616
-23.0,5,1.146021
-26.0,20,1.162857
-20.0,20,1.186193
-12.0,20,1.206008
-13.0,1,1.208453
-12.0,2,1.21158
-13.0,5,1.218484
-31.0,15,1.234615
-16.0,20,1.253889
-17.0,5,1.259099
-30.0,20,1.277775
-22.0,20,1.297715
-19.0,11,1.308674
-28.0,20,1.327293
-21.0,9,1.336508
-22.0,20,1.365325
-28.0,20,1.384654
-16.0,10,1.395077
-28.0,20,1.414926
-28.0,20,1.434905
-26.0,20,1.454145
-16.0,20,1.47319
-24.0,20,1.49094
-17.0,3,1.495379
-14.0,20,1.514967
-19.0,5,1.520628
-11.0,1,1.522616
-20.0,20,1.540829
-24.0,20,1.558544
-14.0,20,1.576424
-11.699579,2,1.579428
-34.0,18,1.59734
-16.0,20,1.616136
-16.0,20,1.634735
-20.0,6,1.640802
-12.0,20,1.658633
-26.0,20,1.720093
-14.0,20,1.744765
-12.255978,1,1.746889
-26.0,20,1.770448
-30.0,18,1.791892
-26.0,20,1.814417
-21.0,5,1.821544
-21.0,7,1.831962
-14.0,20,1.855243
-18.0,20,1.877231
-36.0,20,1.900511
-27.91253,14,1.916818
-10.0,20,1.940575
-24.0,20,1.962987
-30.0,20,1.984905
-22.0,20,2.008645
-20.0,20,2.031668
-22.0,14,2.04952
-15.0,1,2.051717
-22.0,20,2.074859
-18.0,20,2.097757
-28.0,20,2.119845
-24.0,20,2.143218
-8.0,20,2.166788
-28.0,20,2.189389
-6.0,20,2.21273
-34.0,20,2.235318
-19.0,13,2.25121
-17.0,19,2.273794
-27.0,19,2.294875
-11.827026,14,2.310561
-20.0,20,2.33379
-10.0,20,2.357221
-10.0,20,2.379835
-27.0,15,2.396505
-20.0,20,2.419066
-24.0,20,2.440886
-16.0,14,2.459741
-28.0,16,2.477995
-10.0,20,2.501011
-22.0,20,2.523121
-26.0,20,2.544609
-20.0,20,2.569445
-30.0,18,2.590194
-26.0,20,2.611317
-15.0,1,2.613258
-18.0,6,2.621501
-26.0,6,2.629465
-14.0,20,2.651619
-12.0,20,2.675562
-11.0,1,2.678594
-15.0,9,2.690323
-12.0,8,2.6997
-12.0,20,2.721968
-13.0,1,2.727548
-20.901507,5,2.738352
-12.0,2,2.742846
-10.0,20,2.765865
-20.0,20,2.788659
-12.0,20,2.811066
-12.0,20,2.833849
-14.0,20,2.855731
-8.0,20,2.880343
-22.0,20,2.903813
-33.0,17,2.923063
-18.0,20,2.945824
-16.0,20,2.968119
-14.0,20,2.993707
-28.0,20,3.015822
-37.0,17,3.034752
-12.0,20,3.05625
-20.0,20,3.080653
-27.0,9,3.093358
-24.0,20,3.117777
-30.0,20,3.140782
-19.0,5,3.147772
-32.0,20,3.169622
-14.0,8,3.179613
-10.0,20,3.214928
-17.690957,6,3.241625
-10.0,2,3.246842
-27.0,17,3.266144
-16.0,6,3.274381
-16.0,20,3.29833
-6.0,20,3.32197
-22.0,20,3.344116
-12.0,20,3.36666
-14.0,12,3.382116
-16.0,20,3.405213
-14.0,20,3.429171
-15.0,1,3.431162
-14.0,20,3.454951
-24.0,20,3.477641
-16.0,20,3.500947
-2.0,20,3.524874
-24.0,10,3.537663
-18.0,20,3.55982
-6.0,20,3.581482
-8.0,20,3.603341
-23.0,11,3.619024
-14.0,20,3.642078
-11.0,3,3.646497
-26.0,20,3.668364
-18.0,20,3.692296
-15.0,3,3.69679
-26.0,20,3.72011
-14.0,20,3.743143
-26.0,20,3.766261
-16.0,20,3.787959
-24.0,20,3.809544
-11.536379,2,3.813089
-34.0,18,3.836184
-28.0,20,3.858203
-12.0,20,3.880243
-13.0,1,3.882395
-20.0,20,3.906001
-8.0,20,3.929917
-21.0,11,3.944342
-12.0,20,3.966297
-20.0,20,3.98966
-24.0,14,4.005211
-12.961743,1,4.007286
-11.0,1,4.010115
-28.0,20,4.034878
-35.0,17,4.054948
-14.0,20,4.07677
-14.0,20,4.098909
-16.0,20,4.122818
-18.0,20,4.1461
-12.0,20,4.170648
-25.0,11,4.183412
-14.0,20,4.206559
-20.0,20,4.230099
-36.0,20,4.253535
-16.0,20,4.276236
-19.0,15,4.294409
-30.0,20,4.316619
-8.0,20,4.340507
-6.0,20,4.364171
-12.0,20,4.387366
-25.0,15,4.404866
-42.0,20,4.426466
-26.0,20,4.449404
-16.0,20,4.473432
-13.0,1,4.475459
-8.0,20,4.497717
-14.0,10,4.510204
-26.0,20,4.533303
-31.0,11,4.54698
-20.0,20,4.570662
2.0,20,4.593027
-26.0,6,4.601315
-14.0,20,4.623394
-17.0,15,4.639639
-10.0,16,4.659249
-16.0,20,4.683446
-13.580499,6,4.690746
-10.0,20,4.712497
-20.0,20,4.734467
-12.0,2,4.739263
-34.0,20,4.762688
-11.0,1,4.764945
-13.0,1,4.767065
-22.0,20,4.790262
-26.0,18,4.810826
-16.0,4,4.815971
-16.0,20,4.836917
-24.0,20,4.860421
-12.0,20,4.883563
-16.0,20,4.905229
-16.0,20,4.926998
0.0,20,4.949159
-18.0,20,4.972374
-18.0,20,4.99416
-26.0,20,5.015613
